match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
3895052,Bayer Leverkusen,44.0,1.545,59.09,27.27,13.64,Low Block,26.0,12.0,6.0
3895052,RB Leipzig,38.0,1.421,68.42,21.05,10.53,Low Block,26.0,8.0,4.0
3895060,Bayer Leverkusen,40.0,1.525,60.0,27.5,12.5,Low Block,24.0,11.0,5.0
3895060,Borussia Mönchengladbach,58.0,1.328,72.41,22.41,5.17,Low Block,42.0,13.0,3.0
3895067,Bayer Leverkusen,29.0,1.931,37.93,31.03,31.03,High Press,11.0,9.0,9.0
3895067,Darmstadt 98,69.0,1.159,85.51,13.04,1.45,Low Block,59.0,9.0,1.0
3895074,Bayer Leverkusen,65.0,1.431,63.08,30.77,6.15,Low Block,41.0,20.0,4.0
3895074,Bayern Munich,53.0,1.642,52.83,30.19,16.98,Low Block,28.0,16.0,9.0
3895086,Bayer Leverkusen,34.0,1.882,38.24,35.29,26.47,Balanced,13.0,12.0,9.0
3895086,FC Heidenheim,59.0,1.119,89.83,8.47,1.69,Low Block,53.0,5.0,1.0
3895095,Bayer Leverkusen,60.0,1.367,68.33,26.67,5.0,Low Block,41.0,16.0,3.0
3895095,FSV Mainz 05,41.0,1.61,46.34,46.34,7.32,Balanced,19.0,19.0,3.0
3895107,Bayer Leverkusen,44.0,1.932,36.36,34.09,29.55,Balanced,16.0,15.0,13.0
3895107,FC Köln,67.0,1.239,83.58,8.96,7.46,Low Block,56.0,6.0,5.0
3895113,Bayer Leverkusen,45.0,1.422,64.44,28.89,6.67,Low Block,29.0,13.0,3.0
3895113,Wolfsburg,57.0,1.509,56.14,36.84,7.02,Low Block,32.0,21.0,4.0
3895121,Bayer Leverkusen,51.0,1.431,70.59,15.69,13.73,Low Block,36.0,8.0,7.0
3895121,Freiburg,53.0,1.226,83.02,11.32,5.66,Low Block,44.0,6.0,3.0
3895134,Bayer Leverkusen,53.0,1.245,81.13,13.21,5.66,Low Block,43.0,7.0,3.0
3895134,Hoffenheim,50.0,1.6,56.0,28.0,16.0,Low Block,28.0,14.0,8.0
3895139,Bayer Leverkusen,39.0,1.59,58.97,23.08,17.95,Low Block,23.0,9.0,7.0
3895139,Union Berlin,49.0,1.204,83.67,12.24,4.08,Low Block,41.0,6.0,2.0
3895153,Bayer Leverkusen,42.0,1.548,59.52,26.19,14.29,Low Block,25.0,11.0,6.0
3895153,Werder Bremen,52.0,1.365,69.23,25.0,5.77,Low Block,36.0,13.0,3.0
3895158,Bayer Leverkusen,45.0,2.022,24.44,48.89,26.67,Balanced,11.0,22.0,12.0
3895158,Borussia Dortmund,97.0,1.155,87.63,9.28,3.09,Low Block,85.0,9.0,3.0
3895167,Bayer Leverkusen,46.0,1.5,60.87,28.26,10.87,Low Block,28.0,13.0,5.0
3895167,VfB Stuttgart,57.0,1.439,64.91,26.32,8.77,Low Block,37.0,15.0,5.0
3895180,Bayer Leverkusen,53.0,1.566,56.6,30.19,13.21,Low Block,30.0,16.0,7.0
3895180,Eintracht Frankfurt,62.0,1.565,53.23,37.1,9.68,Low Block,33.0,23.0,6.0
3895182,Bayer Leverkusen,48.0,1.604,52.08,35.42,12.5,Low Block,25.0,17.0,6.0
3895182,Bochum,53.0,1.642,47.17,41.51,11.32,Balanced,25.0,22.0,6.0
3895194,Augsburg,94.0,1.34,75.53,14.89,9.57,Low Block,71.0,14.0,9.0
3895194,Bayer Leverkusen,26.0,1.769,42.31,38.46,19.23,Balanced,11.0,10.0,5.0
3895202,Bayer Leverkusen,51.0,1.51,58.82,31.37,9.8,Low Block,30.0,16.0,5.0
3895202,RB Leipzig,56.0,1.482,62.5,26.79,10.71,Low Block,35.0,15.0,6.0
3895210,Bayer Leverkusen,25.0,1.8,52.0,16.0,32.0,High Press,13.0,4.0,8.0
3895210,Borussia Mönchengladbach,102.0,1.127,91.18,4.9,3.92,Low Block,93.0,5.0,4.0
3895220,Bayer Leverkusen,42.0,1.548,57.14,30.95,11.9,Low Block,24.0,13.0,5.0
3895220,Darmstadt 98,59.0,1.39,66.1,28.81,5.08,Low Block,39.0,17.0,3.0
3895232,Bayer Leverkusen,60.0,1.283,73.33,25.0,1.67,Low Block,44.0,15.0,1.0
3895232,Bayern Munich,31.0,1.677,51.61,29.03,19.35,Low Block,16.0,9.0,6.0
3895244,Bayer Leverkusen,52.0,1.327,73.08,21.15,5.77,Low Block,38.0,11.0,3.0
3895244,FC Heidenheim,71.0,1.493,64.79,21.13,14.08,Low Block,46.0,15.0,10.0
3895250,Bayer Leverkusen,36.0,1.5,58.33,33.33,8.33,Low Block,21.0,12.0,3.0
3895250,FSV Mainz 05,74.0,1.446,64.86,25.68,9.46,Low Block,48.0,19.0,7.0
3895258,Bayer Leverkusen,24.0,1.958,37.5,29.17,33.33,High Press,9.0,7.0,8.0
3895258,FC Köln,59.0,1.102,91.53,6.78,1.69,Low Block,54.0,4.0,1.0
3895266,Bayer Leverkusen,24.0,2.042,37.5,20.83,41.67,High Press,9.0,5.0,10.0
3895266,Wolfsburg,57.0,1.123,89.47,8.77,1.75,Low Block,51.0,5.0,1.0
3895275,Bayer Leverkusen,41.0,1.439,65.85,24.39,9.76,Low Block,27.0,10.0,4.0
3895275,Freiburg,46.0,1.348,71.74,21.74,6.52,Low Block,33.0,10.0,3.0
3895286,Bayer Leverkusen,39.0,1.641,56.41,23.08,20.51,Low Block,22.0,9.0,8.0
3895286,Hoffenheim,89.0,1.135,91.01,4.49,4.49,Low Block,81.0,4.0,4.0
3895292,Bayer Leverkusen,46.0,1.326,71.74,23.91,4.35,Low Block,33.0,11.0,2.0
3895292,Union Berlin,63.0,1.381,71.43,19.05,9.52,Low Block,45.0,12.0,6.0
3895302,Bayer Leverkusen,32.0,1.844,40.62,34.38,25.0,Balanced,13.0,11.0,8.0
3895302,Werder Bremen,45.0,1.289,77.78,15.56,6.67,Low Block,35.0,7.0,3.0
