match_id,team,total_actions,final_third_actions,field_tilt_pct
3895052,Bayer Leverkusen,878,228,25.97
3895052,RB Leipzig,1146,170,14.83
3895060,Bayer Leverkusen,1445,384,26.57
3895060,Borussia Mönchengladbach,896,235,26.23
3895067,Bayer Leverkusen,1626,600,36.9
3895067,Darmstadt 98,551,64,11.62
3895074,Bayern Munich,1170,269,22.99
3895074,Bayer Leverkusen,1168,233,19.95
3895086,Bayer Leverkusen,1593,414,25.99
3895086,FC Heidenheim,661,89,13.46
3895095,FSV Mainz 05,957,233,24.35
3895095,Bayer Leverkusen,1151,175,15.2
3895107,Bayer Leverkusen,1510,325,21.52
3895107,FC Köln,762,97,12.73
3895113,Bayer Leverkusen,1276,284,22.26
3895113,Wolfsburg,858,178,20.75
3895121,Bayer Leverkusen,1490,431,28.93
3895121,Freiburg,599,126,21.04
3895134,Bayer Leverkusen,1062,279,26.27
3895134,Hoffenheim,968,211,21.8
3895139,Bayer Leverkusen,1657,313,18.89
3895139,Union Berlin,735,118,16.05
3895153,Bayer Leverkusen,1437,291,20.25
3895153,Werder Bremen,958,186,19.42
3895158,Bayer Leverkusen,1381,632,45.76
3895158,Borussia Dortmund,627,97,15.47
3895167,Bayer Leverkusen,1097,275,25.07
3895167,VfB Stuttgart,1151,254,22.07
3895180,Bayer Leverkusen,1445,255,17.65
3895180,Eintracht Frankfurt,914,150,16.41
3895182,Bayer Leverkusen,1418,263,18.55
3895182,Bochum,591,102,17.26
3895194,Bayer Leverkusen,1623,603,37.15
3895194,Augsburg,499,71,14.23
3895202,Bayer Leverkusen,1287,346,26.88
3895202,RB Leipzig,887,206,23.22
3895210,Bayer Leverkusen,1971,921,46.73
3895210,Borussia Mönchengladbach,632,62,9.81
3895220,Darmstadt 98,712,157,22.05
3895220,Bayer Leverkusen,1511,304,20.12
3895232,Bayern Munich,1369,334,24.4
3895232,Bayer Leverkusen,842,176,20.9
3895244,FC Heidenheim,740,219,29.59
3895244,Bayer Leverkusen,1226,310,25.29
3895250,Bayer Leverkusen,1320,402,30.45
3895250,FSV Mainz 05,681,102,14.98
3895258,Bayer Leverkusen,1649,574,34.81
3895258,FC Köln,476,50,10.5
3895266,Bayer Leverkusen,1800,901,50.06
3895266,Wolfsburg,532,94,17.67
3895275,Bayer Leverkusen,1453,352,24.23
3895275,Freiburg,674,149,22.11
3895286,Bayer Leverkusen,1447,773,53.42
3895286,Hoffenheim,612,117,19.12
3895292,Bayer Leverkusen,1355,406,29.96
3895292,Union Berlin,688,142,20.64
3895302,Bayer Leverkusen,1272,313,24.61
3895302,Werder Bremen,975,127,13.03
3895309,Bayer Leverkusen,1083,283,26.13
3895309,Borussia Dortmund,925,154,16.65
3895320,Bayer Leverkusen,955,297,31.1
3895320,VfB Stuttgart,1039,174,16.75
3895333,Eintracht Frankfurt,1051,229,21.79
3895333,Bayer Leverkusen,819,163,19.9
3895340,Bayer Leverkusen,1264,421,33.31
3895340,Bochum,538,100,18.59
3895348,Bayer Leverkusen,1529,481,31.46
3895348,Augsburg,798,175,21.93
