match_id,team,possession_pct,total_xg,epr,style
3895052,RB Leipzig,55.5,1.722110053524375,32.23,Balanced
3895052,Bayer Leverkusen,44.5,1.52336416952312,29.21,Balanced
3895060,Bayer Leverkusen,59.48,2.7198706809431314,21.87,Balanced
3895060,Borussia Mönchengladbach,40.52,0.7992645637132227,50.7,Patient Build-up
3895067,Bayer Leverkusen,72.57,3.3046411806717515,21.96,Balanced
3895067,Darmstadt 98,27.43,0.5792024498805404,47.36,Patient Build-up
3895074,Bayern Munich,51.37,2.209524417296052,23.25,Balanced
3895074,Bayer Leverkusen,48.63,2.2180567760951817,21.92,Balanced
3895086,Bayer Leverkusen,70.57,3.7083720732480288,19.03,Clinical/Direct
3895086,FC Heidenheim,29.43,0.32678838819265366,90.06,Patient Build-up
3895095,Bayer Leverkusen,54.65,0.7936648475006223,68.86,Patient Build-up
3895095,FSV Mainz 05,45.35,0.43526502326130867,104.19,Patient Build-up
3895107,Bayer Leverkusen,64.0,2.942168565467,21.75,Balanced
3895107,FC Köln,36.0,1.1904642591252923,30.24,Balanced
3895113,Bayer Leverkusen,58.03,1.962671909481287,29.57,Balanced
3895113,Wolfsburg,41.97,1.1983493296429515,35.02,Balanced
3895121,Bayer Leverkusen,69.57,1.4253422813490033,48.81,Patient Build-up
3895121,Freiburg,30.43,0.7682742178440094,39.61,Balanced
3895134,Bayer Leverkusen,52.13,1.2744761314243078,40.9,Patient Build-up
3895134,Hoffenheim,47.87,1.4835105212405324,32.27,Balanced
3895139,Bayer Leverkusen,68.02,1.8832183545455337,36.12,Balanced
3895139,Union Berlin,31.98,0.03890100307762623,822.09,Patient Build-up
3895153,Bayer Leverkusen,58.98,1.0910592805594206,54.06,Patient Build-up
3895153,Werder Bremen,41.02,0.18594634532928467,220.6,Patient Build-up
3895158,Bayer Leverkusen,68.2,2.144726786762476,31.8,Balanced
3895158,Borussia Dortmund,31.8,0.8077303892932832,39.37,Balanced
3895167,VfB Stuttgart,51.88,2.4035396203398705,21.58,Balanced
3895167,Bayer Leverkusen,48.12,1.5323796402662992,31.4,Balanced
3895180,Bayer Leverkusen,61.19,2.7532403990626335,22.22,Balanced
3895180,Eintracht Frankfurt,38.81,0.1849127896130085,209.88,Patient Build-up
3895182,Bayer Leverkusen,69.13,3.400805179029703,20.33,Balanced
3895182,Bochum,30.87,0.28767202608287334,107.31,Patient Build-up
3895194,Bayer Leverkusen,75.27,1.575537096709013,47.77,Patient Build-up
3895194,Augsburg,24.73,0.3158641029149294,78.29,Patient Build-up
3895202,Bayer Leverkusen,59.73,1.8806014265865088,31.76,Balanced
3895202,RB Leipzig,40.27,1.0867654886096716,37.05,Balanced
3895210,Bayer Leverkusen,74.44,2.5612615076825023,29.06,Balanced
3895210,Borussia Mönchengladbach,25.56,0.18367480486631393,139.16,Patient Build-up
3895220,Bayer Leverkusen,67.25,1.9519169926643372,34.45,Balanced
3895220,Darmstadt 98,32.75,0.770895310677588,42.48,Patient Build-up
3895232,Bayern Munich,61.15,0.6181174106895924,98.93,Patient Build-up
3895232,Bayer Leverkusen,38.85,1.033846877515316,37.58,Balanced
3895244,Bayer Leverkusen,61.07,1.8190613090991974,33.57,Balanced
3895244,FC Heidenheim,38.93,0.4572621826082468,85.14,Patient Build-up
3895250,Bayer Leverkusen,66.51,1.1127182133495808,59.77,Patient Build-up
3895250,FSV Mainz 05,33.49,1.1411721836775541,29.35,Balanced
3895258,Bayer Leverkusen,77.28,1.293370682746172,59.75,Patient Build-up
3895258,FC Köln,22.72,0.6864133253693581,33.1,Balanced
3895266,Bayer Leverkusen,75.81,1.7859470397233963,42.45,Patient Build-up
3895266,Wolfsburg,24.19,0.22678730264306068,106.66,Patient Build-up
3895275,Bayer Leverkusen,67.19,2.5961762443184853,25.88,Balanced
3895275,Freiburg,32.81,0.93062006495893,35.26,Balanced
3895286,Bayer Leverkusen,68.02,2.769983018748462,24.56,Balanced
3895286,Hoffenheim,31.98,0.6492178551852703,49.26,Patient Build-up
3895292,Bayer Leverkusen,65.56,2.563543014228344,25.57,Balanced
3895292,Union Berlin,34.44,0.5450826454907656,63.18,Patient Build-up
3895302,Bayer Leverkusen,55.55,3.004243304952979,18.49,Clinical/Direct
3895302,Werder Bremen,44.45,0.683732770383358,65.01,Patient Build-up
3895309,Bayer Leverkusen,52.03,1.364112336654216,38.14,Balanced
3895309,Borussia Dortmund,47.97,0.5548352152109146,86.46,Patient Build-up
3895320,VfB Stuttgart,50.74,1.7994422912597656,28.2,Balanced
3895320,Bayer Leverkusen,49.26,1.6525241555646062,29.81,Balanced
3895333,Eintracht Frankfurt,56.21,1.4415343785658479,38.99,Balanced
3895333,Bayer Leverkusen,43.79,2.585808763280511,16.93,Clinical/Direct
3895340,Bayer Leverkusen,67.47,4.301661430858076,15.68,Clinical/Direct
3895340,Bochum,32.53,0.314100481569767,103.57,Patient Build-up
3895348,Bayer Leverkusen,64.9,2.1649204157292843,29.98,Balanced
3895348,Augsburg,35.1,0.7803317625075579,44.98,Patient Build-up
